Province,Pct_0_2yrs,Pct_3_5yrs,Pct_6_11yrs,Pct_12_17yrs,Pct_18_30yrs,Pct_31_44yrs,Pct_45_64yrs,Pct_65plus,Pct_Children,NumFoodBanksReporting
BC,4.1,4.5,11.2,10.8,13.7,23.1,21.3,11.3,30.6,108
AB,4.4,5.9,13.5,12.4,16.9,24.7,17.5,4.7,36.2,90
SK,4.4,6.3,14.2,12.9,15.5,23.3,18.4,5.0,37.8,31
MB,5.0,5.3,12.7,10.0,12.5,20.4,16.7,17.4,33.0,112
ON,4.0,5.0,11.6,11.0,17.3,21.6,20.8,8.8,31.5,499
QC,5.1,7.3,12.2,10.0,15.2,22.6,19.7,7.9,34.6,776
NB,4.0,5.6,12.7,10.9,15.4,23.2,22.3,5.8,33.3,52
NS,3.8,5.2,12.7,11.5,17.0,23.0,20.2,6.7,33.2,90
PEI,4.4,5.3,13.0,10.3,16.8,28.0,16.6,5.6,32.9,8
NL,3.0,4.4,11.2,11.4,12.9,22.9,27.6,6.5,30.1,33
TERR,2.3,4.0,9.0,13.0,14.9,22.8,25.9,8.0,28.4,3
