Province,Pct_Homeowners,Pct_RentalMarketTenants,Pct_SocialHousingTenants,Pct_BandOwnedHousing,Pct_UnhousedTempShelter,Pct_OtherHousing,NumFoodBanksReporting
BC,8.7,75.2,7.4,0.6,5.2,2.8,118
AB,9.9,70.5,5.4,6.4,5.6,2.2,112
SK,6.6,73.7,9.7,1.8,6.0,2.3,34
MB,11.2,60.0,23.5,0.5,3.8,0.9,113
ON,5.3,73.2,12.4,0.0,6.4,2.7,510
QC,7.8,67.0,14.8,1.0,7.1,2.1,824
NB,14.6,66.5,13.2,0.2,4.3,1.1,55
NS,12.0,71.0,7.8,0.3,6.8,2.1,99
PEI,8.0,65.8,19.4,0.0,4.5,2.3,8
NL,10.9,61.4,20.3,0.0,5.6,1.9,46
TERR,6.9,55.7,20.1,0.0,14.9,2.4,5
