Province,Pct_JobIncome,Pct_FederalEI,Pct_SocialAssistance,Pct_ProvincialDisabilitySupport,Pct_Pension,Pct_StudentLoanScholarship,Pct_CCB,Pct_NoIncome,Pct_OtherIncome,NumFoodBanksReporting
BC,23.3,2.9,18.0,19.0,12.7,0.2,1.5,14.6,7.9,112
AB,30.8,2.0,17.2,6.4,6.2,1.0,7.6,21.6,7.4,101
SK,20.1,2.2,39.0,5.9,7.0,1.3,2.3,9.8,12.4,33
MB,17.2,3.9,25.4,11.3,6.6,7.3,1.9,16.1,10.4,113
ON,14.2,1.9,20.4,19.9,8.5,1.1,0.5,20.9,12.6,502
QC,20.6,5.4,43.3,3.2,10.5,3.4,3.6,7.8,2.3,827
NB,19.8,3.9,41.6,5.2,9.2,0.5,3.8,10.5,5.6,54
NS,23.7,4.3,29.3,10.3,9.4,1.7,0.3,14.7,6.3,93
PEI,34.4,4.0,17.4,4.6,3.1,0.3,0.8,27.8,7.7,7
NL,8.8,4.5,56.1,3.4,9.3,0.6,7.2,5.4,4.6,40
TERR,13.4,2.7,31.8,3.1,4.6,0.9,2.3,26.8,14.4,3
