Province,Total_Visits,Total_Visits_Children,PctChange_Visits_2024_2025,PctChange_Visits_2019_2025,NumFoodBanksReporting,Total_Meals_Snacks_Provided
BC,223340,68053,-1.0,79.1,131,106914
AB,210541,75968,21.8,134.4,127,602859
SK,55310,20906,4.6,48.6,41,11880
MB,64975,25047,17.1,,115,173092
ON,763756,228689,3.7,124.9,619,1097330
QC,746411,260419,3.5,116.2,1395,2352639
NB,32343,10781,0.5,45.3,68,68830
NS,43421,14023,10.3,69.4,144,87191
PEI,5350,1757,-1.6,80.8,8,4301
NL,15422,4700,8.3,44.1,64,17320
TERR,4897,1428,22.9,,13,
