Province,Communities_Served,NonProfit_Partners,Meals_Distributed_Min,GHG_Averted_lbs_Min,Car_Equivalent_Min
Alberta,92,569,14090000,48900000,6795
British Columbia,105,648,10940000,35300000,4905
Manitoba,72,397,6890000,21100000,2932
Saskatchewan,38,218,4210000,10900000,1515
Ontario,296,2300,45490000,149000000,20706
Quebec,85,217,8210000,22300000,3099
New Brunswick,38,99,3050000,7900000,1098
Nova Scotia,68,192,2600000,10200000,1417
Prince Edward Island,19,55,148900,850000,118
Newfoundland and Labrador,55,126,645000,2100000,292
Yukon,3,9,65900,151000,21
Northwest Territories,18,37,78400,240000,33
Nunavut,23,33,163100,,
