REF_DATE,GEO,DGUID,Demographic characteristics,Household food security status,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,All persons,Food secure,Number of persons,Number,223,units,0,v1288342804,1.1.1.1,30672400,A,,,0
2021,Canada,2021A000011124,All persons,Food secure,Percentage of persons,Percent,239,units,0,v1288342805,1.1.1.2,81.5,A,,,1
2021,Canada,2021A000011124,All persons,Food insecure,Number of persons,Number,223,units,0,v1529611792,1.1.6.1,6962300,A,,,0
2021,Canada,2021A000011124,All persons,Food insecure,Percentage of persons,Percent,239,units,0,v1529611793,1.1.6.2,18.5,A,,,1
2021,Canada,2021A000011124,All persons,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342806,1.1.2.1,2093700,B,,,0
2021,Canada,2021A000011124,All persons,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342807,1.1.2.2,5.6,B,,,1
2021,Canada,2021A000011124,All persons,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342808,1.1.3.1,4868600,B,,,0
2021,Canada,2021A000011124,All persons,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342809,1.1.3.2,12.9,B,,,1
2021,Canada,2021A000011124,All persons,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342810,1.1.4.1,3362500,B,,,0
2021,Canada,2021A000011124,All persons,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342811,1.1.4.2,8.9,B,,,1
2021,Canada,2021A000011124,All persons,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342812,1.1.5.1,1506100,C,,,0
2021,Canada,2021A000011124,All persons,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342813,1.1.5.2,4,C,,,1
2021,Canada,2021A000011124,Persons under 18 years,Food secure,Number of persons,Number,223,units,0,v1288342814,1.2.1.1,5529900,A,,,0
2021,Canada,2021A000011124,Persons under 18 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342815,1.2.1.2,75.6,A,,,1
2021,Canada,2021A000011124,Persons under 18 years,Food insecure,Number of persons,Number,223,units,0,v1529611794,1.2.6.1,1781900,B,,,0
2021,Canada,2021A000011124,Persons under 18 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611795,1.2.6.2,24.4,B,,,1
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342816,1.2.2.1,545700,C,,,0
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342817,1.2.2.2,7.5,C,,,1
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342818,1.2.3.1,1236100,C,,,0
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342819,1.2.3.2,16.9,B,,,1
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342820,1.2.4.1,929400,C,,,0
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342821,1.2.4.2,12.7,C,,,1
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342822,1.2.5.1,306700,D,,,0
2021,Canada,2021A000011124,Persons under 18 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342823,1.2.5.2,4.2,C,,,1
2021,Canada,2021A000011124,Persons 18 to 64 years,Food secure,Number of persons,Number,223,units,0,v1288342824,1.3.1.1,18977400,A,,,0
2021,Canada,2021A000011124,Persons 18 to 64 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342825,1.3.1.2,80.9,A,,,1
2021,Canada,2021A000011124,Persons 18 to 64 years,Food insecure,Number of persons,Number,223,units,0,v1529611796,1.3.6.1,4472900,A,,,0
2021,Canada,2021A000011124,Persons 18 to 64 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611797,1.3.6.2,19.1,A,,,1
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342826,1.3.2.1,1273500,C,,,0
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342827,1.3.2.2,5.4,C,,,1
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342828,1.3.3.1,3199300,B,,,0
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342829,1.3.3.2,13.6,B,,,1
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342830,1.3.4.1,2116000,B,,,0
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342831,1.3.4.2,9,B,,,1
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342832,1.3.5.1,1083300,C,,,0
2021,Canada,2021A000011124,Persons 18 to 64 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342833,1.3.5.2,4.6,C,,,1
2021,Canada,2021A000011124,Persons 18 to 24 years,Food secure,Number of persons,Number,223,units,0,v1288342834,1.4.1.1,2471600,A,,,0
2021,Canada,2021A000011124,Persons 18 to 24 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342835,1.4.1.2,80.1,A,,,1
2021,Canada,2021A000011124,Persons 18 to 24 years,Food insecure,Number of persons,Number,223,units,0,v1529611798,1.4.6.1,615800,C,,,0
2021,Canada,2021A000011124,Persons 18 to 24 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611799,1.4.6.2,19.9,C,,,1
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342836,1.4.2.1,191800,D,,,0
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342837,1.4.2.2,6.2,D,,,1
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342838,1.4.3.1,424000,C,,,0
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342839,1.4.3.2,13.7,C,,,1
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342840,1.4.4.1,279900,D,,,0
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342841,1.4.4.2,9.1,D,,,1
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342842,1.4.5.1,144100,D,,,0
2021,Canada,2021A000011124,Persons 18 to 24 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342843,1.4.5.2,4.7,D,,,1
2021,Canada,2021A000011124,Persons 25 to 34 years,Food secure,Number of persons,Number,223,units,0,v1288342844,1.5.1.1,4274200,A,,,0
2021,Canada,2021A000011124,Persons 25 to 34 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342845,1.5.1.2,80.2,A,,,1
2021,Canada,2021A000011124,Persons 25 to 34 years,Food insecure,Number of persons,Number,223,units,0,v1529611800,1.5.6.1,1057500,B,,,0
2021,Canada,2021A000011124,Persons 25 to 34 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611801,1.5.6.2,19.8,B,,,1
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342846,1.5.2.1,268800,C,,,0
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342847,1.5.2.2,5,C,,,1
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342848,1.5.3.1,788600,C,,,0
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342849,1.5.3.2,14.8,C,,,1
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342850,1.5.4.1,515100,C,,,0
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342851,1.5.4.2,9.7,C,,,1
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342852,1.5.5.1,273600,C,,,0
2021,Canada,2021A000011124,Persons 25 to 34 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342853,1.5.5.2,5.1,C,,,1
2021,Canada,2021A000011124,Persons 35 to 44 years,Food secure,Number of persons,Number,223,units,0,v1288342854,1.6.1.1,4017500,A,,,0
2021,Canada,2021A000011124,Persons 35 to 44 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342855,1.6.1.2,78.7,A,,,1
2021,Canada,2021A000011124,Persons 35 to 44 years,Food insecure,Number of persons,Number,223,units,0,v1529611802,1.6.6.1,1085900,B,,,0
2021,Canada,2021A000011124,Persons 35 to 44 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611803,1.6.6.2,21.3,B,,,1
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342856,1.6.2.1,331700,C,,,0
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342857,1.6.2.2,6.5,C,,,1
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342858,1.6.3.1,754200,B,,,0
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342859,1.6.3.2,14.8,B,,,1
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342860,1.6.4.1,523200,C,,,0
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342861,1.6.4.2,10.3,C,,,1
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342862,1.6.5.1,231000,C,,,0
2021,Canada,2021A000011124,Persons 35 to 44 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342863,1.6.5.2,4.5,C,,,1
2021,Canada,2021A000011124,Persons 45 to 54 years,Food secure,Number of persons,Number,223,units,0,v1288342864,1.7.1.1,3822500,A,,,0
2021,Canada,2021A000011124,Persons 45 to 54 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342865,1.7.1.2,80.8,A,,,1
2021,Canada,2021A000011124,Persons 45 to 54 years,Food insecure,Number of persons,Number,223,units,0,v1529611804,1.7.6.1,905400,B,,,0
2021,Canada,2021A000011124,Persons 45 to 54 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611805,1.7.6.2,19.2,B,,,1
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342866,1.7.2.1,252800,C,,,0
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342867,1.7.2.2,5.3,C,,,1
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342868,1.7.3.1,652600,C,,,0
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342869,1.7.3.2,13.8,C,,,1
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342870,1.7.4.1,435700,C,,,0
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342871,1.7.4.2,9.2,C,,,1
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342872,1.7.5.1,216800,C,,,0
2021,Canada,2021A000011124,Persons 45 to 54 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342873,1.7.5.2,4.6,C,,,1
2021,Canada,2021A000011124,Persons 55 to 64 years,Food secure,Number of persons,Number,223,units,0,v1288342874,1.8.1.1,4391600,A,,,0
2021,Canada,2021A000011124,Persons 55 to 64 years,Food secure,Percentage of persons,Percent,239,units,0,v1288342875,1.8.1.2,84.5,A,,,1
2021,Canada,2021A000011124,Persons 55 to 64 years,Food insecure,Number of persons,Number,223,units,0,v1529611806,1.8.6.1,808300,B,,,0
2021,Canada,2021A000011124,Persons 55 to 64 years,Food insecure,Percentage of persons,Percent,239,units,0,v1529611807,1.8.6.2,15.5,B,,,1
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342876,1.8.2.1,228300,C,,,0
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342877,1.8.2.2,4.4,C,,,1
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342878,1.8.3.1,579900,C,,,0
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342879,1.8.3.2,11.2,C,,,1
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342880,1.8.4.1,362100,C,,,0
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342881,1.8.4.2,7,C,,,1
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342882,1.8.5.1,217800,C,,,0
2021,Canada,2021A000011124,Persons 55 to 64 years,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342883,1.8.5.2,4.2,C,,,1
2021,Canada,2021A000011124,Persons 65 years and over,Food secure,Number of persons,Number,223,units,0,v1288342884,1.9.1.1,6165200,A,,,0
2021,Canada,2021A000011124,Persons 65 years and over,Food secure,Percentage of persons,Percent,239,units,0,v1288342885,1.9.1.2,89.7,A,,,1
2021,Canada,2021A000011124,Persons 65 years and over,Food insecure,Number of persons,Number,223,units,0,v1529611808,1.9.6.1,707600,B,,,0
2021,Canada,2021A000011124,Persons 65 years and over,Food insecure,Percentage of persons,Percent,239,units,0,v1529611809,1.9.6.2,10.3,B,,,1
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342886,1.9.2.1,274400,C,,,0
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342887,1.9.2.2,4,C,,,1
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342888,1.9.3.1,433100,C,,,0
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342889,1.9.3.2,6.3,C,,,1
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342890,1.9.4.1,317100,C,,,0
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342891,1.9.4.2,4.6,C,,,1
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342892,1.9.5.1,116100,D,,,0
2021,Canada,2021A000011124,Persons 65 years and over,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342893,1.9.5.2,1.7,D,,,1
2021,Canada,2021A000011124,Men+,Food secure,Number of persons,Number,223,units,0,v1288342894,1.10.1.1,15291700,A,,,0
2021,Canada,2021A000011124,Men+,Food secure,Percentage of persons,Percent,239,units,0,v1288342895,1.10.1.2,81.7,A,,,1
2021,Canada,2021A000011124,Men+,Food insecure,Number of persons,Number,223,units,0,v1529611810,1.10.6.1,3417900,B,,,0
2021,Canada,2021A000011124,Men+,Food insecure,Percentage of persons,Percent,239,units,0,v1529611811,1.10.6.2,18.3,B,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342896,1.10.2.1,1028600,C,,,0
2021,Canada,2021A000011124,Men+,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342897,1.10.2.2,5.5,C,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342898,1.10.3.1,2389400,B,,,0
2021,Canada,2021A000011124,Men+,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342899,1.10.3.2,12.8,B,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342900,1.10.4.1,1631500,B,,,0
2021,Canada,2021A000011124,Men+,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342901,1.10.4.2,8.7,B,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342902,1.10.5.1,757900,C,,,0
