"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Wheat flour","Total supply","Tonnes","288","thousands","3","v108200","1.1.2","2510.72","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Total supply","Tonnes","288","thousands","3","v108200","1.1.2","2624.54","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Total supply","Tonnes","288","thousands","3","v108200","1.1.2","2702.49","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Total supply","Tonnes","288","thousands","3","v108200","1.1.2","2683.54","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Total supply","Tonnes","288","thousands","3","v108200","1.1.2","2829.82","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Beginning stocks","Tonnes","288","thousands","3","v108201","1.1.3","28.71","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Beginning stocks","Tonnes","288","thousands","3","v108201","1.1.3","29.35","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Beginning stocks","Tonnes","288","thousands","3","v108201","1.1.3","32.19","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Beginning stocks","Tonnes","288","thousands","3","v108201","1.1.3","30.24","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Beginning stocks","Tonnes","288","thousands","3","v108201","1.1.3","28.37","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Production","Tonnes","288","thousands","3","v108202","1.1.4","2402.40","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Production","Tonnes","288","thousands","3","v108202","1.1.4","2503.79","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Production","Tonnes","288","thousands","3","v108202","1.1.4","2525.63","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Production","Tonnes","288","thousands","3","v108202","1.1.4","2492.37","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Production","Tonnes","288","thousands","3","v108202","1.1.4","2681.69","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Imports","Tonnes","288","thousands","3","v108203","1.1.5","79.62","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Imports","Tonnes","288","thousands","3","v108203","1.1.5","91.39","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Imports","Tonnes","288","thousands","3","v108203","1.1.5","144.67","","","","2"
"2024","Canada","2021A000011124","Wheat flour","Imports","Tonnes","288","thousands","3","v108203","1.1.5","160.93","","","","2"
"2025","Canada","2021A000011124","Wheat flour","Imports","Tonnes","288","thousands","3","v108203","1.1.5","119.76","","","","2"
"2021","Canada","2021A000011124","Wheat flour","Total disposition","Tonnes","288","thousands","3","v54326402","1.1.11","2481.37","","","","2"
"2022","Canada","2021A000011124","Wheat flour","Total disposition","Tonnes","288","thousands","3","v54326402","1.1.11","2592.35","","","","2"
"2023","Canada","2021A000011124","Wheat flour","Total disposition","Tonnes","288","thousands","3","v54326402","1.1.11","2672.25","","","","2"
